ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849713::Is Detach,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075848978::Type,1075849001::Min,1075849002::Max,1075849003::Error Message,1075849714::Quote Value,1075849715::Invert Expression,1075849722::Is Not For Replication,1075850193::Dependent Objects  [read only]
"1075839020::1448","CK_WorkOrder_ScrappedQty",Validation Rule,"","CK_WorkOrder_ScrappedQty"," >= 0","","","","CK_WorkOrder_ScrappedQty","","CK_WorkOrder_ScrappedQty","CK_WorkOrder_ScrappedQty","Production","false","","MinMax","0","","","No","false","","CK_WorkOrder_ScrappedQty"
"1075839020::1461","CK_WorkOrder_EndDate",Validation Rule,"","CK_WorkOrder_EndDate","[EndDate]>=[StartDate] OR [EndDate] IS NULL","","","","CK_WorkOrder_EndDate","","CK_WorkOrder_EndDate","CK_WorkOrder_EndDate","Production","false","","User-Defined","","","","","","","CK_WorkOrder_EndDate"
"1075839020::1477","CK_WorkOrderRouting_ActualResourceHrs",Validation Rule,"","CK_WorkOrderRouting_ActualResourceHrs"," >= 0.0000","","","","CK_WorkOrderRouting_ActualResourceHrs","","CK_WorkOrderRouting_ActualResourceHrs","CK_WorkOrderRouting_ActualResourceHrs","Production","false","","MinMax","0.0000","","","No","false","","CK_WorkOrderRouting_ActualResourceHrs"
"1075839020::1479","CK_WorkOrderRouting_PlannedCost",Validation Rule,"","CK_WorkOrderRouting_PlannedCost","[PlannedCost]>(0.00)","","","","CK_WorkOrderRouting_PlannedCost","","CK_WorkOrderRouting_PlannedCost","CK_WorkOrderRouting_PlannedCost","Production","false","","User-Defined","","","","","","","CK_WorkOrderRouting_PlannedCost"
"1075839020::1481","CK_WorkOrderRouting_ActualCost",Validation Rule,"","CK_WorkOrderRouting_ActualCost","[ActualCost]>(0.00)","","","","CK_WorkOrderRouting_ActualCost","","CK_WorkOrderRouting_ActualCost","CK_WorkOrderRouting_ActualCost","Production","false","","User-Defined","","","","","","","CK_WorkOrderRouting_ActualCost"
"1075839020::1493","CK_WorkOrderRouting_ScheduledEndDate",Validation Rule,"","CK_WorkOrderRouting_ScheduledEndDate","[ScheduledEndDate]>=[ScheduledStartDate]","","","","CK_WorkOrderRouting_ScheduledEndDate","","CK_WorkOrderRouting_ScheduledEndDate","CK_WorkOrderRouting_ScheduledEndDate","Production","false","","User-Defined","","","","","","","CK_WorkOrderRouting_ScheduledEndDate"
"1075839020::1495","CK_WorkOrderRouting_ActualEndDate",Validation Rule,"","CK_WorkOrderRouting_ActualEndDate","[ActualEndDate]>=[ActualStartDate] OR [ActualEndDate] IS NULL OR [ActualStartDate] IS NULL","","","","CK_WorkOrderRouting_ActualEndDate","","CK_WorkOrderRouting_ActualEndDate","CK_WorkOrderRouting_ActualEndDate","Production","false","","User-Defined","","","","","","","CK_WorkOrderRouting_ActualEndDate"
"1075839020::1508","CK_ProductVendor_AverageLeadTime",Validation Rule,"","CK_ProductVendor_AverageLeadTime"," >= 1","","","","CK_ProductVendor_AverageLeadTime","","CK_ProductVendor_AverageLeadTime","CK_ProductVendor_AverageLeadTime","Purchasing","false","","MinMax","1","","","No","false","","CK_ProductVendor_AverageLeadTime"
"1075839020::1510","CK_ProductVendor_StandardPrice",Validation Rule,"","CK_ProductVendor_StandardPrice","[StandardPrice]>(0.00)","","","","CK_ProductVendor_StandardPrice","","CK_ProductVendor_StandardPrice","CK_ProductVendor_StandardPrice","Purchasing","false","","User-Defined","","","","","","","CK_ProductVendor_StandardPrice"
"1075839020::1512","CK_ProductVendor_LastReceiptCost",Validation Rule,"","CK_ProductVendor_LastReceiptCost","[LastReceiptCost]>(0.00)","","","","CK_ProductVendor_LastReceiptCost","","CK_ProductVendor_LastReceiptCost","CK_ProductVendor_LastReceiptCost","Purchasing","false","","User-Defined","","","","","","","CK_ProductVendor_LastReceiptCost"
